run_id,fetched_at,vendor_slug,company_domain,url_from,url_to,domain_rating_source,traffic_domain,title
20260526-120029,2026-05-26T12:00:29Z,deel,careers-page.com,https://www.careers-page.com/smart-talent-consulting/job/W3673RY9,https://jobs.deel.com/EmployGlobalTalent/job-details/657f41e4-a6ee-40a8-9efc-fd2a0dfd0a47,81.0,54030,Real Estate Accountant - Smart Talent Consulting Inc. | Career Page
20260526-120029,2026-05-26T12:00:29Z,deel,arbetsformedlingen.se,https://arbetsformedlingen.se/platsbanken/annonser/31040464,https://jobs.deel.com/klarna/job-details/6a88bbba-1d3e-4389-9444-f52a8218fd27/overview,81.0,1761660,Data Science Manager - Klarna Bank AB - Platsbanken
20260526-120029,2026-05-26T12:00:29Z,deel,sequoiacap.com,https://sequoiacap.com/companies/klarna/,https://jobs.deel.com/job-boards/klarna/job-details/449e0faa-46e9-4d2f-b29f-a8e8bb3a6f6a,80.0,90053,Klarna | Sequoia Capital
20260526-120029,2026-05-26T12:00:29Z,deel,career.io,https://career.io/job/recruiter-engineering-gtm-san-francisco-smart-talent-consulting-addd81a88ab03b02379f0a51fb9e5cc7,https://jobs.deel.com/EmployGlobal/job-details/233d337b-b369-474c-9977-d0174bd28519/overview,75.0,24266,"Recruiter (Engineering & GTM) in San Francisco, CA, US - Career.io"
20260526-120029,2026-05-26T12:00:29Z,deel,duunitori.fi,https://duunitori.fi/tyopaikat/tyo/creative-trainee-sdsuu-20288105,https://jobs.deel.com/liwlig-group/job-details/d3ca737e-095d-4767-8900-ef8c97da1d91/overview,74.0,1258329,Creative Trainee - LIWLIG Finland - Työpaikat - Duunitori
20260526-120029,2026-05-26T12:00:29Z,deel,remotive.com,https://remotive.com/remote/jobs/sales-business/business-development-manager-4104588,https://jobs.deel.com/job-boards/DFS/job-details/fd66dca0-d4a9-4009-b4a1-5f0c49c627a1/overview,73.0,126088,[Hiring] Business Development Manager @Smart Talent Consulting Inc.
20260526-120029,2026-05-26T12:00:29Z,deel,waterforpeople.org,https://www.waterforpeople.org/careers/,https://jobs.deel.com/job-boards/water-for-people,70.0,2318,Water For People Jobs | Make an Impact with your Career
20260526-120029,2026-05-26T12:00:29Z,deel,evervault.com,https://evervault.com/careers/revenue-operations,https://jobs.deel.com/job-boards/6611e343-a40c-436d-8569-356cf1061fc2/job-details/eae9264a-b692-4c2a-a5b4-fbf7ac0662c1/application,68.0,1743,Evervault — Developer building blocks for data security and compliance
20260526-120029,2026-05-26T12:00:29Z,deel,immigrantinvest.com,https://immigrantinvest.com/ru/events/caribbean-investors/,https://jobs.deel.com/ImmigrantInvest,68.0,163604,Бизнес-встреча для инвесторов — как получить карибский паспорт с выгодой?
20260526-120029,2026-05-26T12:00:29Z,deel,speedinvest.com,https://careers.speedinvest.com/companies/dott/jobs/67490230-copy-of-dach-driver-mechanic-hannover,https://jobs.deel.com/job-boards/dott-1769520315673/job-details/186411e5-8657-4c7f-9963-abc0119c0aac?gh_src=Speedinvest+job+board,67.0,2797,Copy of DACH - Driver/Mechanic - Hannover @ Dott | Speedinvest Job Board
20260526-120029,2026-05-26T12:00:29Z,deel,hbanet.org,https://hbanet.org/who-we-are/hba-central-staff/open-positions,https://jobs.deel.com/job-boards/healthcare-businesswomens-association/job-details/f578f3ef-8b12-4eb4-9ae3-d2072ddf8b52,65.0,3045,Open Positions | Healthcare Businesswomen’s Association
20260526-120029,2026-05-26T12:00:29Z,deel,tumo.org,https://tumo.org/jobs,https://jobs.deel.com/tumo-center-for-creative-technologies/job-details/3c58d11b-7fbc-428a-a071-520d7f71027c/overview,63.0,2505,Jobs - TUMO Center for Creative Technologies
20260526-120029,2026-05-26T12:00:29Z,deel,tcv.com,https://portfoliojobs.tcv.com/companies/klarna/jobs/63730005-business-development-associate,https://jobs.deel.com/job-boards/klarna/job-details/5e3c49d0-bcd5-4b4d-a9e3-805f639a7249?gh_src=Technology+Crossover+Ventures+job+board,61.0,5581,Business Development Associate @ Klarna | Technology Crossover Ventures Job Board
20260526-120029,2026-05-26T12:00:29Z,deel,dfns.co,https://www.dfns.co/,https://jobs.deel.com/job-boards/dfns,58.0,1051,Dfns — The Most Powerful Digital Asset Wallet Infrastructure
20260526-120029,2026-05-26T12:00:29Z,deel,jobbland.se,https://jobbland.se/jobb/data-science-manager-sasrb-20282998,https://jobs.deel.com/klarna/job-details/6a88bbba-1d3e-4389-9444-f52a8218fd27/overview,57.0,203230,Data Science Manager - Klarna Bank AB
20260526-120029,2026-05-26T12:00:29Z,deel,legal.io,https://www.legal.io/jobs/5758681/Full-time/Senior-Analyst-Regulatory-Interactions-and-Licensing,https://jobs.deel.com/job-boards/klarna/job-details/04def46d-54f0-4032-acd7-dfd76c8a74aa/application?source=linkedin,57.0,18562,Senior Analyst - Regulatory Interactions and Licensing at Klarna | New York (Full Time) | Legal.io
20260526-120029,2026-05-26T12:00:29Z,deel,redbaycoffee.com,https://www.redbaycoffee.com/pages/careers,https://jobs.deel.com/job-boards/red-bay-coffee-company,56.0,1562,Careers
20260526-120029,2026-05-26T12:00:29Z,deel,grabjobs.co,https://grabjobs.co/southafrica/job/full-time/others/real-estate-accountant-155815057,https://jobs.deel.com/EmployGlobalTalent/job-details/657f41e4-a6ee-40a8-9efc-fd2a0dfd0a47,51.0,28495,Real Estate Accountant at Smart Talent Consulting Inc. in Durban South Africa - GrabJobs
20260526-120029,2026-05-26T12:00:29Z,deel,dailyremote.com,https://dailyremote.com/remote-companies?page=209,https://jobs.deel.com/job-boards/bablesmartcities,50.0,72361,Top remote companies hiring remotely. Apply at DailyRemote.
20260526-120029,2026-05-26T12:00:29Z,deel,liwlig.com,https://www.liwlig.com/nb/en-baerekraftig-arbeidshverdag,https://jobs.deel.com/liwlig-group,49.0,1634,En bærekraftig arbeidshverdag - Liwlig
20260526-120029,2026-05-26T12:00:29Z,deel,c99.nl,https://subdomainfinder.c99.nl/scans/2026-02-23/deel.com,https://jobs.deel.com/,49.0,34231,Subdomain Finder scan of deel.com - C99.nl
20260526-120029,2026-05-26T12:00:29Z,deel,shortlist.net,https://climatejobs.shortlist.net/companies/zembo/jobs/60185688-vetting-officer-job-at-zembo,https://jobs.deel.com/job-boards/zembo/job-details/691bc550-b3ac-4614-9e9c-b6b71a926527,38.0,1123,Vetting Officer job at Zembo @ Zembo | Shortlist Job Board
20260526-120029,2026-05-26T12:00:29Z,deel,spiderrock.net,https://spiderrock.net/careers/,https://jobs.deel.com/job-boards/spiderrock-technology-solutions-llc,37.0,1368,Careers & Job Opportunities | SpiderRock
20260526-120029,2026-05-26T12:00:29Z,deel,bresh.com,https://www.bresh.com/company/careers,https://jobs.deel.com/job-boards/bresh-careers/job-details/6f03c5b1-bbec-477e-b1fb-11ee12cdee78,35.0,15797,Bresh
