run_id,fetched_at,vendor_slug,company_domain,url_from,url_to,domain_rating_source,traffic_domain,title
20260526-105722,2026-05-26T10:57:22Z,gusto,techcrunch.com,https://techcrunch.com/2024/05/20/these-81-robotics-companies-are-hiring/,https://jobs.gusto.com/boards/anyware-robotics-e7cbbd33-db1c-470e-93b3-020992d24e20,92.0,631653,These 81 robotics companies are hiring | TechCrunch
20260526-105722,2026-05-26T10:57:22Z,gusto,jhu.edu,https://ventures.jhu.edu/programs-services/fastforward/resources-programs/startup-career-opportunities/,https://jobs.gusto.com/boards/roundtrip-827a3c0f-7774-411a-8650-6c57fdb2a14d,91.0,1223404,Startup Career Opportunities - Johns Hopkins Technology Ventures
20260526-105722,2026-05-26T10:57:22Z,gusto,beehiiv.com,https://stephmui.beehiiv.com/p/everything-you-need-to-read-this-week-by-stephthefounder-august-4th-0272,https://jobs.gusto.com/boards/cambridge-terahertz-ead351ec-c1b3-4f1c-b271-37109dab4d44,91.0,265107,everything you need to read this week by @stephthefounder (August 4th)
20260526-105722,2026-05-26T10:57:22Z,gusto,carrd.co,https://tealteacup.carrd.co/,https://jobs.gusto.com/boards/tealteacup-llc-5352102b-bd67-4c02-a87b-e36bffeacaa8,91.0,480041,Tealteacup
20260526-105722,2026-05-26T10:57:22Z,gusto,utexas.edu,https://golem.ph.utexas.edu/category/2024/04/machine_learning_jobs_for_cate.html,https://jobs.gusto.com/boards/symbolica-ai-67195a74-31b4-4052-ba18-e859d461808c,90.0,1596942,Machine Learning Jobs for Category Theorists | The n-Category Café
20260526-105722,2026-05-26T10:57:22Z,gusto,broadwayworld.com,https://www.broadwayworld.com/job/SF-Bay-Area-Local-Communications-Engagement-Manager-9552,https://jobs.gusto.com/boards/playwrights-foundation-834be59b-37e2-4a3e-a782-7ff1134e55e3,88.0,541336,"SF Bay Area Local - Communications & Engagement Manager at Playwrights Foundation in San Francisco, CA"
20260526-105722,2026-05-26T10:57:22Z,gusto,craigslist.org,https://sfbay.craigslist.org/scz/edu/d/santa-cruz-licensed-clinical-social/7914792876.html,https://jobs.gusto.com/boards/people-first-of-santa-cruz-county-8fa537aa-3160-41d0-b206-bd22901a0a81,88.0,11083042,Licensed Clinical Social Worker Supervisor - education / teaching - job employment - craigslist
20260526-105722,2026-05-26T10:57:22Z,gusto,helpscout.com,https://intheworks.helpscout.com/checking-in-with-happied/,https://jobs.gusto.com/boards/happied-44147b44-24c3-4b54-968a-ef5b0ae84fea,87.0,37520,Checking in with Happied | In the Works
20260526-105722,2026-05-26T10:57:22Z,gusto,ivoox.com,https://www.ivoox.com/en/the-problem-with-open-hardware-audios-mp3_rf_173218282_1.html,https://jobs.gusto.com/boards/jdwk-inc-05a5c6f3-56fa-4214-970e-fcb819df10a5,86.0,114412,The Problem With Open Hardware - Fireside Fedi Fedicast - Podcast on iVoox
20260526-105722,2026-05-26T10:57:22Z,gusto,samcart.com,https://www.samcart.com/careers,https://jobs.gusto.com/boards/samcart-78702d5a-dbdb-4a45-8bfa-d3bb59e15628,85.0,30937,SamCart Careers
